"BORROWER_ID","EMP_LENGTH","EMP_TITLE","HOME_OWNERSHIP","ANNUAL_INCOME"
882183,"< 1 year","National Radio Astronomy Observatory","RENT",65000
980008,"1 year","Kipp LA Schools","RENT",65004
771655,"2 years","Travelers","RENT",250000
788181,"< 1 year","Dell, Inc","RENT",45000
858435,"< 1 year","ACLU of Washington","RENT",36000
420813,"1 year","Gleason Works","RENT",75000
421040,"2 years","power and process, inc","RENT",40000
989624,"2 years","Grant & Eisenhofer","RENT",45000
1046651,"8 years","Wells Real Estate Funds","RENT",72000
1244566,"1 year","Palmateer Insurance","RENT",30000
970103,"4 years","All-Clad Metalcrafters","RENT",95000
758152,"6 years","USMC","RENT",45600
1099372,"< 1 year","Chiro One","RENT",48000
845897,"1 year","Office of the Deputy Mayor for Education","RENT",70000
749808,"10+ years","H D Segur Inc","RENT",45000
684871,"2 years","Ogilvy & Mather","RENT",45000
436608,"2 years","HEALTH-FIRST","RENT",63000
415023,"6 years","Commerce Bank of WA","RENT",52000
863376,"6 years","Reboot Networks","RENT",70000
880591,"< 1 year","StreetLight Mission","RENT",40000
921787,"2 years","Applied Signal Technology","RENT",81744
820432,"3 years","All Star Rents Inc","RENT",88000
417737,"8 years","Altera Corp.","RENT",101000
1063746,"3 years","3550 Condo association","RENT",35004
1285877,"< 1 year","First Republic Bank","RENT",48000
468742,"1 year","Ahwatukee Plastic Surgery","RENT",34320
984234,"1 year","NVR","RENT",38000
1007133,"< 1 year","holmes correctional","RENT",33000
920773,"1 year","Massage Envy","RENT",28000
1233117,"6 years","","RENT",48000
708997,"8 years","ideal merchandizing","RENT",60000
540915,"1 year","","RENT",57200
1030327,"1 year","Boost Mobile","RENT",30000
771474,"2 years","Equiom, Inc","RENT",85000
732449,"3 years","FM Global","RENT",41558
763111,"10+ years","USMC","RENT",41808
391387,"2 years","Inforonics, LLC","RENT",50500
789201,"3 years","Morgan Stanley","RENT",160000
661671,"9 years","Roger George Rentals","RENT",44004
416096,"3 years","Dutch Productions Inc.","RENT",55000
795505,"< 1 year","Accellion","RENT",120000
968310,"6 years","Sumas Corporation","RENT",50880
813634,"2 years","Peninsula Spine and Wellness","RENT",147000
995621,"10+ years","AMTRAK, NRPC","RENT",90000
986087,"4 years","Sauder Woodworking Company","MORTGAGE",34800
1044879,"7 years","G4S Security Services","MORTGAGE",25480
695093,"7 years","TW Cable","MORTGAGE",60000
1282460,"10+ years","Sirius Computer Solutions","MORTGAGE",200000
987762,"10+ years","USMC","MORTGAGE",86400
1018268,"10+ years","","OWN",105859
1091747,"1 year","NYC Veterinary Specialists","RENT",55000
992908,"10+ years","k-va-t foodstores (food city)","RENT",19200
940957,"< 1 year","Bridges of America","RENT",36000
902121,"3 years","Morton Capital Management","RENT",150000
913440,"6 years","St. Lukes Hospital","RENT",24000
680702,"4 years","Seagate Technology","RENT",75000
1109519,"8 years","Pacific Solid Surface","MORTGAGE",40000
968430,"10+ years","New Hanover County Schools","MORTGAGE",48000
1026961,"10+ years","UNITED STATES POSTAL SERVICE","MORTGAGE",61000
1083586,"10+ years","Walmart","MORTGAGE",30000
540379,"8 years","Wal-mart","MORTGAGE",50000
907335,"9 years","AT&T","MORTGAGE",95000
935469,"10+ years","IBM Corp","MORTGAGE",53000
392486,"10+ years","Rhode Island Public Transit Authority","MORTGAGE",88268
708049,"10+ years","The Atlantic Club","MORTGAGE",224000
1008964,"10+ years","Leigh Hart  attorney","MORTGAGE",55500
814838,"5 years","SunTrust Bank","MORTGAGE",43000
962486,"5 years","Luxor hotel and casino","MORTGAGE",35000
1138838,"5 years","City of Chicago","MORTGAGE",70000
840310,"8 years","DSH","MORTGAGE",46028
949326,"9 years","the shaw group","MORTGAGE",145000
1272278,"4 years","","MORTGAGE",70000
543756,"4 years","Supreme Lending","MORTGAGE",100000
376323,"1 year","U.S. Bank","MORTGAGE",87000
1099848,"10+ years","San Bernardino County Fire Department","MORTGAGE",84000
519842,"10+ years","City of Phoenix","MORTGAGE",72893
466685,"10+ years","Social Security Administration (SSA)","MORTGAGE",77248
1013678,"2 years","First Citizens Bank and Trust Inc","MORTGAGE",134000
597066,"3 years","US Investigations Services","MORTGAGE",45000
1259074,"4 years","7-eleven","MORTGAGE",31200
620168,"9 years","Sparling Construction","MORTGAGE",87000
798103,"2 years","VA-Western New York Healthcare System","MORTGAGE",97000
186229,"7 years","General Dynamics","MORTGAGE",82000
753382,"7 years","ITT Corporation","MORTGAGE",72000
821792,"1 year","Vumii Imaging","MORTGAGE",93500
976217,"10+ years","Advanex Americas, Inc.","MORTGAGE",215000
1010230,"2 years","Utility Support Systems, Inc","MORTGAGE",150000
741625,"2 years","LSUHSC-S","MORTGAGE",19200
954412,"3 years","Cisco Systems","MORTGAGE",115000
751007,"8 years","Target Corporation","MORTGAGE",73000
1062258,"10+ years","Exponent, inc","MORTGAGE",280000
540651,"2 years","Zurich Financial Services - Global Corporate","MORTGAGE",210000
504840,"10+ years","Microsoft, Corporation","MORTGAGE",120000
836626,"10+ years","Dallas ISD","MORTGAGE",84000
375940,"10+ years","North American Mission Board","MORTGAGE",109488
743603,"3 years","Pro Reps West","MORTGAGE",65000
402223,"3 years","EmblemHealth","MORTGAGE",50000
828368,"< 1 year","Hibernia Media","MORTGAGE",75000
1197957,"10+ years","Bose Corporation","MORTGAGE",300000
567393,"10+ years","Lockheed Martin Corp.","MORTGAGE",112000
638821,"10+ years","Devine Millimet  and  Branch","MORTGAGE",273000
722859,"2 years","Tec-sem USA","MORTGAGE",60000
721164,"5 years","Bank of America","MORTGAGE",75000
542974,"< 1 year","U.S. ARMY","MORTGAGE",97000
932371,"9 years","PGE","MORTGAGE",85000
695313,"10+ years","little lake city school dist.","MORTGAGE",98400
1003196,"10+ years","c.r.laurence","MORTGAGE",122000
633797,"10+ years","U S Securities Exchange Commission","MORTGAGE",138571
992661,"10+ years","dept of homeland security","MORTGAGE",100000
867650,"10+ years","","MORTGAGE",216000
709139,"5 years","Kaiser Permanente","MORTGAGE",45000
1228637,"10+ years","POLYGON AEROSPACE","MORTGAGE",53000
365234,"10+ years","Superior Energy Services","MORTGAGE",126803
749456,"2 years","John Deere","MORTGAGE",50000
811233,"< 1 year","at&t","MORTGAGE",65000
716437,"< 1 year","Design Kitchen","MORTGAGE",78000
352918,"2 years","Acquity Group","MORTGAGE",143123
816158,"2 years","ABC News","MORTGAGE",130000
990718,"4 years","Zero Chaos","MORTGAGE",72400
1011845,"10+ years","DC Government","MORTGAGE",90369
517816,"10+ years","Stratus Group Inc.","MORTGAGE",62000
542970,"2 years","New World Systems","MORTGAGE",144996
1065313,"10+ years","walmart transportation","MORTGAGE",70000
821175,"4 years","Avaya","MORTGAGE",140000
439230,"5 years","Con-Tec Mgmt Systems","MORTGAGE",180000
1005391,"6 years","Missouri State University","MORTGAGE",36000
1091380,"10+ years","PUBLIC SERVICE ELECTRIC AND GAS","MORTGAGE",62000
1075635,"4 years","Lockheed Martin","MORTGAGE",124000
544069,"5 years","southern California Fuels","OTHER",60000
396870,"10+ years","Grosso Materials Inc.","OTHER",72204
754895,"2 years","dept. of home land security","OWN",61000
1289010,"4 years","Quiksilver","OWN",17640
965506,"6 years","Peace PCA","OWN",50000
936933,"7 years","Medford-Grants Pass Hearing Centers, llc","OWN",34500
822579,"1 year","Blue Seal Feeds, a division of Muscatine","OWN",117500
873384,"3 years","WFHA","OWN",32800
1197030,"8 years","HOME DEPOT","OWN",35000
1174893,"10+ years","united  airlines","OWN",102000
801722,"2 years","Sodexo","OWN",35000
735302,"3 years","Allstate","OWN",96000
1019748,"< 1 year","Pleasants County Schools","OWN",52000
640650,"< 1 year","Fedex Express","OWN",18000
638555,"1 year","rush university medical center","OWN",50000
618413,"10+ years","wyndham worldwide","OWN",175000
498760,"2 years","Waste Management","OWN",38000
1071886,"1 year","Greenfield Savings Bank","OWN",19200
1242073,"3 years","Wells Fargo Bank","OWN",40000
491566,"6 years","Morehart Mortuary","OWN",29004
1067721,"6 years","PSEG","OWN",65000
393348,"< 1 year","Insurance Services","OWN",60000
717573,"1 year","Tenet Health","OWN",38000
784015,"1 year","Other","RENT",26880
1105262,"10+ years","Earth Engineering Incorporated","RENT",65800
991499,"10+ years","Walt Disney World Co","RENT",30000
943343,"10+ years","State of California","RENT",54000
1212393,"10+ years","The Segal Company","RENT",65000
646540,"2 years","The McGraw-Hill Companies","RENT",63000
922855,"2 years","Providence Health Systems","RENT",22452
977927,"2 years","home depot","RENT",35000
700881,"2 years","US EPA","RENT",73000
1043090,"3 years","Diversified","RENT",60000
1195841,"4 years","Starbucks Coffee Company","RENT",26400
1043486,"4 years","Yahoo","RENT",85000
768416,"5 years","Apple Inc.","RENT",36000
887820,"5 years","siemens","RENT",65000
851767,"6 years","Time Warner Cable","RENT",42000
962439,"7 years","Feliz & Associates Inc","RENT",48000
1274586,"8 years","Whole Foods Market","RENT",42856
772705,"8 years","D/F Management","RENT",60000
917300,"< 1 year","","RENT",24480
1048473,"< 1 year","Amazon.com","RENT",60000
826187,"< 1 year","Department of Veterans Affairs","RENT",72000
419208,"< 1 year","Smith Barney","RENT",44000
796225,"5 years","Allen & Overy LLP","RENT",75000
1199479,"1 year","Internet Brands","RENT",50000
513809,"1 year","VPA","RENT",135000
988530,"1 year","Bob Baker Enterprises, Inc.","RENT",150000
645950,"1 year","Social Security Administration","RENT",43738
1108983,"4 years","Van De Poel, Levy & Allen LLP","RENT",50000
590463,"6 years","Citigroup","RENT",114800
534557,"2 years","SBA Network Services","RENT",38800
696771,"2 years","VMC Consulting","RENT",68000
965439,"< 1 year","UBS SECURITIES LLC","RENT",150000
1232123,"< 1 year","Averro inc.","RENT",148080
639114,"1 year","hyatt place","RENT",21360
904611,"1 year","pinkerton government services","RENT",45600
515472,"1 year","United Health Group Inc.","RENT",42000
801357,"1 year","Russ Reid","RENT",83000
525081,"1 year","Best Buy Co Inc","RENT",35364
750704,"10+ years","Los Angeles Unified School District","RENT",78000
983020,"10+ years","Mizuho Capital Markets Corporation","RENT",90000
1260851,"10+ years","RSUI Group Inc","RENT",57000
1048448,"10+ years","autopartsource","RENT",38400
548068,"10+ years","American Express","RENT",110000
852046,"10+ years","Jamaica Hospital Medical Center","RENT",54000
714992,"10+ years","The Karate Studio","RENT",24000
959281,"2 years","Fineline Carpentry, Inc.","RENT",67000
1208626,"2 years","Whole Foods Market","RENT",35000
1192452,"2 years","PricewaterhouseCoopers LLP","RENT",63000
399824,"2 years","Premier Retail Networks","RENT",70000
970444,"2 years","ADT Security","RENT",36780
769618,"3 years","Capital Group","RENT",38600
657517,"3 years","Santander Consumer USA","RENT",38400
758573,"3 years","","RENT",90000
715513,"4 years","Citigroup","RENT",54996
868636,"4 years","lowe's","RENT",28800
1021767,"4 years","Gap Inc","RENT",30720
840329,"4 years","Young & Rubicam","RENT",75000
973902,"4 years","LifeWatch Services Inc","RENT",57000
936911,"6 years","Deloitte Services","RENT",133300
644434,"7 years","US Department of Education","RENT",134000
1077549,"7 years","Commonwealth of Massachusetts","RENT",68666
722883,"8 years","Livenation Ent.","RENT",88000
646074,"8 years","Acadia Coffee Service  Inc.","RENT",35000
825123,"9 years","BB&T","RENT",68000
1099678,"9 years","target","RENT",40000
1202726,"6 years","Smith & Nephew","MORTGAGE",225000
740894,"10+ years","Unified Healthcare Inc","MORTGAGE",128900
527196,"8 years","robert bowden","MORTGAGE",36297
934603,"5 years","The Oaks WTP","MORTGAGE",86000
1012418,"10+ years","Canton Union School District","MORTGAGE",40000
429107,"3 years","Protonex","MORTGAGE",60000
661693,"10+ years","Quik Stop Markets  Inc","MORTGAGE",84132
1235633,"10+ years","US Army Legal Services Agency","MORTGAGE",90000
537035,"2 years","Wachovia Corp.","MORTGAGE",73400
642500,"10+ years","Internal Revenue Service","MORTGAGE",123000
384265,"10+ years","costco wholesale","MORTGAGE",65004
589168,"4 years","wells fargo","OWN",33000
641119,"8 years","Dept. of Education","RENT",75000
1106361,"4 years","MORGAN STANLEY","RENT",84000
1044442,"< 1 year","Lowe's","RENT",21312
371737,"10+ years","Cardinal Health NPS","RENT",52000
1041129,"10+ years","lynwood unified school dist.","RENT",75000
512792,"7 years","Global Fitness Center","RENT",50000
734850,"10+ years","Charles Schwab","RENT",45000
824593,"3 years","Best Buy","RENT",15996
360201,"4 years","LA FOLLETTE, JOHNSON, et al.","RENT",63500
753275,"2 years","THOMSON PLASTICS INC","RENT",45000
776758,"< 1 year","Mo State Highway Patrol","RENT",44469
825347,"2 years","Hertz Local Edition","RENT",60000
1107212,"4 years","Bank of America","RENT",50400
792693,"9 years","Centinela Valley UHSD","RENT",100000
533717,"< 1 year","561 Attorney","RENT",50000
939067,"< 1 year","Lowe's","RENT",21112
782135,"2 years","Big Lots","RENT",42000
973143,"10+ years","Macy's East Inc.","RENT",31504
716441,"3 years","Benefitfocus","RENT",68250
956770,"10+ years","United States Postal Service","MORTGAGE",55963
685561,"3 years","Kimberly Clark Inc","MORTGAGE",91200
728434,"10+ years","CapGemini","MORTGAGE",110000
1069065,"10+ years","James Marine Inc","MORTGAGE",65000
666012,"10+ years","Manatt, Phelps & Phillips","RENT",77000
1057101,"1 year","NCI Inc.","MORTGAGE",55550
930598,"10+ years","Agfa Corporation","MORTGAGE",54000
939761,"10+ years","USPS","MORTGAGE",55000
1194626,"10+ years","U.S. Penitentiary Leavenworth Kansas","MORTGAGE",50000
770973,"10+ years","Richland County School District One","MORTGAGE",58000
1204773,"10+ years","Texas Instruments","MORTGAGE",126000
961633,"10+ years","USDA","MORTGAGE",61000
857842,"10+ years","Web4Inc","MORTGAGE",78000
718585,"10+ years","United States Armed Forces","MORTGAGE",78000
526028,"10+ years","Hilton Hotels Corporation","MORTGAGE",76500
917430,"10+ years","Verizon","MORTGAGE",98004
855893,"2 years","The Hartford","MORTGAGE",36600
1096254,"2 years","Regions Financial Corporation","MORTGAGE",120000
739478,"2 years","Claire's Assessories","MORTGAGE",37000
1163900,"3 years","Pepsico","MORTGAGE",42000
644396,"3 years","Team Peak Alaska","MORTGAGE",52000
448613,"4 years","Fidelity Investments","MORTGAGE",61766
788329,"4 years","BP North America","MORTGAGE",100000
1073085,"6 years","Systematic Financial","MORTGAGE",99996
1196556,"6 years","Verizon","MORTGAGE",120000
946757,"7 years","Empire Merchants","MORTGAGE",120000
1003020,"7 years","Raytheon Company","MORTGAGE",87000
1248846,"8 years","Societe Generale","MORTGAGE",56000
1209962,"8 years","FBI","MORTGAGE",110000
1097181,"8 years","Battison Auto Group","MORTGAGE",85000
729818,"8 years","walmart","MORTGAGE",39700
802714,"8 years","United States Marine Corps","MORTGAGE",45600
963103,"9 years","Time Warner Cable","MORTGAGE",97000
1234989,"< 1 year","Wisconsin Dept Of Revenue","MORTGAGE",62000
827330,"< 1 year","Rock City Gardens","MORTGAGE",60400
427758,"10+ years","Kroger","MORTGAGE",30930
828797,"10+ years","Austin ISD","MORTGAGE",63844
813495,"4 years","Los Angeles Sheriff Department","MORTGAGE",80000
794036,"4 years","Nye County School District","MORTGAGE",37500
1225302,"4 years","Kaiser Permante","MORTGAGE",100800
758755,"5 years","University of Colorado at Boulder","MORTGAGE",86250
1266356,"6 years","Troop Support (DLA Philadelphia)","MORTGAGE",78301
797965,"< 1 year","Bank of America","MORTGAGE",45000
801432,"< 1 year","ThomsonReuters","MORTGAGE",85000
626932,"9 years","UPS","MORTGAGE",61000
791401,"10+ years","Couch distributing","MORTGAGE",60000
675436,"10+ years","Martin Group","MORTGAGE",45000
887985,"2 years","UPS Freight","MORTGAGE",55000
1109796,"3 years","PAREXEL International","MORTGAGE",50000
962451,"4 years","Whittlesey & Hadley","MORTGAGE",57700
695238,"5 years","Thirau LLC","MORTGAGE",64500
770140,"7 years","Exterran","MORTGAGE",100000
460303,"8 years","macys","MORTGAGE",41004
1110484,"10+ years","Oracle","MORTGAGE",160000
1270275,"10+ years","United Healthcare","MORTGAGE",350000
767474,"6 years","CitiGroup","MORTGAGE",33000
716944,"10+ years","Bank of America","MORTGAGE",42000
974361,"10+ years","CMS Energy","MORTGAGE",105000
671028,"1 year","Juice Pharma Worldwide","MORTGAGE",114996
725067,"10+ years","Integrated Diagnostic Centers, Inc.","MORTGAGE",52400
1099225,"10+ years","Constellation Energy","MORTGAGE",120000
1237113,"10+ years","Citibank-Private Banking","MORTGAGE",125000
759518,"10+ years","us army","MORTGAGE",48000
772480,"10+ years","Mesa Industries  Inc","MORTGAGE",171996
1227426,"10+ years","Federal Law Enforcement Training Center","MORTGAGE",173467
678507,"10+ years","AT and T","MORTGAGE",110196
1039659,"10+ years","United States ostal Service","MORTGAGE",67422
824421,"10+ years","US Marines","MORTGAGE",110000
967796,"2 years","Regency Hospital","MORTGAGE",63000
526695,"2 years","Bargain Beachwear","MORTGAGE",27000
669827,"2 years","Goodwin Procter LLP","MORTGAGE",83000
719048,"3 years","Davis Wright Tremaine LLp","MORTGAGE",142000
717802,"3 years","Enloe Hospital","MORTGAGE",135000
932317,"3 years","Sapphire Technologies","MORTGAGE",121680
1007800,"3 years","CA. Dept. Of Corrections","MORTGAGE",72000
634331,"4 years","Free and Clear","MORTGAGE",96000
652248,"4 years","Ace Hardware Corporation","MORTGAGE",55812
805937,"5 years","MacNeil Automotive Products","MORTGAGE",84996
453419,"5 years","federal mogul","MORTGAGE",65004
837271,"5 years","Charter Communications","MORTGAGE",100000
831845,"5 years","Ohio Department of Development","MORTGAGE",57000
1270997,"6 years","St. Helen Catholic School","MORTGAGE",35000
515167,"6 years","Pacific Scientific Energetic Materials Co.","MORTGAGE",72000
1062489,"7 years","University of Oklahoma","MORTGAGE",37000
845976,"7 years","GSDM","MORTGAGE",70000
1070726,"8 years","HighRoads, Inc","MORTGAGE",113000
1024282,"9 years","Internet Brands, Inc.","MORTGAGE",120000
913193,"9 years","Novartis Pharmacueticals","MORTGAGE",125000
973056,"9 years","Sun Life Financial","MORTGAGE",78000
732243,"< 1 year","CSC","MORTGAGE",126400
956555,"< 1 year","Organ Historical Society","MORTGAGE",146990
1027190,"10+ years","united parcel service (ups)","MORTGAGE",92000
1088936,"10+ years","ABM Industries","MORTGAGE",130000
730484,"10+ years","DEPT. OF HUMAN SERVICES","MORTGAGE",90474
811072,"10+ years","Aldi Inc.","MORTGAGE",89000
593735,"10+ years","Henry Ford Health Systems","MORTGAGE",130000
1073761,"10+ years","US ARMY","MORTGAGE",119004
902892,"10+ years","Kraft Foods","MORTGAGE",69000
657826,"10+ years","Childrens Hospital Los Angeles","MORTGAGE",105000
702460,"2 years","Healthsouth","MORTGAGE",39996
1173353,"3 years","Xcel Energy","MORTGAGE",72000
771912,"3 years","KPMG","MORTGAGE",110000
1029586,"4 years","Sony Music","MORTGAGE",199000
506499,"5 years","Dept. of Economic Development","MORTGAGE",41004
509308,"5 years","Backstage employment and referral","MORTGAGE",38000
1089800,"6 years","UPS Freight","MORTGAGE",28800
1258162,"< 1 year","Eisai, Inc.","MORTGAGE",160000
1050033,"< 1 year","HIP Financial, LLC","MORTGAGE",145000
548405,"9 years","VCEHD","MORTGAGE",64000
1068024,"10+ years","TheEconomist Group","MORTGAGE",100000
713727,"10+ years","synapse group inc","MORTGAGE",70000
712173,"10+ years","Edmunds.com","MORTGAGE",86000
699902,"10+ years","The Gas Company","MORTGAGE",75000
1036205,"10+ years","Navigant Consulting Inc","MORTGAGE",120000
1047634,"6 years","jw molding","RENT",24960
946843,"7 years","yellow cab com.","RENT",30000
1260658,"7 years","Pizza Pirates","RENT",28000
788445,"7 years","Cal Fire","RENT",65000
1105796,"8 years","","RENT",36000
1271893,"8 years","LAHEY CLINIC","RENT",31500
713156,"8 years","Brookfield Engineering Labs Inc","RENT",65000
564105,"9 years","Whittier Goodrich Phar","RENT",35392
1095771,"< 1 year","National Suicide Prevention Lifeline","RENT",90000
822665,"< 1 year","City of Oceanside","RENT",70000
1047819,"< 1 year","Memorial Sloan Kettering Cancer Center","RENT",40000
350911,"< 1 year","","RENT",12120
1019959,"< 1 year","","RENT",24000
822764,"< 1 year","Amylin Pharmaceuticals, Inc.","RENT",115000
1014216,"< 1 year","Liberty Healthcare Corporation","RENT",37000
772372,"< 1 year","Newport-Mesa Unified School District","RENT",75000
949749,"< 1 year","Starcom Media Vest Group","RENT",30000
822733,"< 1 year","BB&T","RENT",52000
752956,"< 1 year","Songs Music Publishing","RENT",125000
382443,"< 1 year","Snohomish County Sheriff's Office","RENT",65000
817063,"< 1 year","Brigham and Women's Hospital","RENT",33500
909753,"1 year","Contractor's Institute","RENT",30000
1217973,"10+ years","Enterprise Rent-A-Car","RENT",62500
1210823,"1 year","La Vida","RENT",30000
1094960,"1 year","Fox College Funding LLC","RENT",40000
624698,"10+ years","Pall Corporation","RENT",54000
981843,"10+ years","Red Prairie","RENT",62000
790433,"10+ years","Coastal Trainning Technologies","RENT",26000
789653,"2 years","Walden University","RENT",40000
895776,"2 years","HDR Engineering  Inc","RENT",74984
759296,"3 years","Advanced Sports Medicine","RENT",42000
681592,"3 years","SPR Industries","RENT",25000
644410,"3 years","Duck Creek Technologies","RENT",50350
518575,"4 years","Kushbo Inc.","RENT",34000
1209388,"4 years","NASA JSC","RENT",60626
1075982,"4 years","Chevron","RENT",56000
863306,"7 years","Rebling Plastics","RENT",61500
956373,"7 years","Hard Rock International","RENT",78000
572169,"9 years","crisafi, pryor & farquhar, Inc","RENT",103000
822675,"< 1 year","Ralphs Market","RENT",27600
550848,"1 year","Whole Foods Market","RENT",40000
1003511,"1 year","Edelman","RENT",75000
855047,"10+ years","Pepsi","RENT",31500
572763,"2 years","U.S. Department of State","RENT",80409
605687,"2 years","Bryn Mawr Rehabiliation Hospital","RENT",59785
597504,"4 years","GE Inspection Tech.","RENT",28000
1218915,"6 years","Anvil Corporation","RENT",38400
646334,"9 years","Internal Revenue Service","RENT",92341
563315,"< 1 year","Beasley Broadcasting","RENT",90000
1088822,"10+ years","cenveo","RENT",50000
1038450,"1 year","Identity Works, Inc.","RENT",40000
1209940,"1 year","Girling Health Care","RENT",18000
862721,"1 year","Northstar-at-tahoe","RENT",36000
519785,"1 year","FAA","RENT",37800
966004,"1 year","Seasons 52","RENT",40000
1279753,"1 year","Porter Scott, APC","RENT",70000
720977,"1 year","Street Solutions Inc","RENT",66000
1269792,"10+ years","WELLS FARGO BANK, N.A.","RENT",39000
632309,"10+ years","St. Francis de Sales School for the Deaf","RENT",40000
599391,"10+ years","Archibus, Inc.","RENT",91000
887895,"10+ years","New jersey physicians","RENT",28000
355377,"10+ years","Lindenhurst Public Schools","RENT",75127
397565,"10+ years","Frontier Central School District","RENT",82650
989129,"2 years","Gulf Bend MHMR","RENT",19200
715498,"2 years","tektonics design group","RENT",38500
1288478,"2 years","H.O.P.E. Farm","RENT",40000
912183,"2 years","UCSF Medical Center","RENT",28800
1059012,"2 years","Hewlett Packard","RENT",51000
856068,"2 years","MKG Martial Arts","RENT",19200
630030,"2 years","C and C Affordable Managment llc","RENT",60000
632919,"2 years","Farmers Insurance","RENT",45600
1007183,"3 years","The University of Texas at El Paso","RENT",43150
900842,"3 years","","RENT",23000
907439,"3 years","Loves travel stops and country stores","RENT",54000
568365,"3 years","SPECTRA","RENT",25000
852922,"3 years","360i/Innovation Interactive/Dentsu","RENT",115000
509201,"3 years","Mitchell Gardens coops","RENT",48000
610813,"3 years","Tonger Industries Corp.","RENT",55000
873988,"3 years","Canvas Concepts, Inc.","RENT",24960
659070,"3 years","ARTnews","RENT",52000
692739,"4 years","Black & Decker","RENT",34500
994483,"4 years","County Office","RENT",42000
554175,"4 years","Metpar Corp","RENT",33852
646276,"4 years","New York City Department of Corrections","RENT",53000
948696,"4 years","Limelight Cardroom","RENT",42000
768539,"4 years","Parkhill  Smith  and  Cooper","RENT",51996
584508,"4 years","Nexus Digital Studio","RENT",76000
1077010,"4 years","publix supermarket","RENT",31150
399676,"4 years","eddie braun","RENT",18200
1208734,"5 years","DPSS","RENT",35000
581981,"5 years","Denton County","RENT",26729
1001765,"5 years","Harris County Sheriff's office","RENT",60000
589671,"5 years","Tumac Lumber Co.","RENT",39000
1226159,"6 years","holmes auto repair","RENT",26400
644617,"6 years","bare bones","RENT",43200
573982,"6 years","US Air Force","RENT",44000
354200,"6 years","US Air Force","RENT",44720
529956,"7 years","North American Motorsports, LLC","RENT",62400
872421,"7 years","Meyers Development","RENT",68000
625969,"8 years","Bimbo Bakery USA","RENT",39900
541305,"8 years","Candu Enterprises  Inc","RENT",36000
1078658,"9 years","Kearny Steel Container","RENT",101877
643602,"9 years","Dreyers Grand Ice Cream","RENT",58000
1108989,"< 1 year","CDPHP","RENT",58000
645603,"< 1 year","Gateway Longview","RENT",30000
949450,"< 1 year","T.G. construction & remodeling","RENT",25000
580291,"< 1 year","Pig Newton, Inc","RENT",168000
920394,"< 1 year","US Department of Justice","RENT",62467
604683,"< 1 year","","RENT",30000
627499,"< 1 year","Auerbach Grayson","RENT",65000
517653,"< 1 year","America Approved","RENT",20004
625562,"< 1 year","Hubner Manufacturing USA","RENT",38000
703761,"< 1 year","Peter J. Brevorka","RENT",30000
665122,"< 1 year","Eddy VNA","RENT",40000
1191061,"1 year","Ironvine Technology","RENT",86000
1044788,"1 year","Target","RENT",36000
1212720,"2 years","City Picture Frame","RENT",21000
1014107,"3 years","Omni hotels","RENT",61000
1088328,"7 years","SPM, LLC","RENT",65000
1226892,"< 1 year","Fitango, Inc.","RENT",28000
463959,"< 1 year","Starbucks Coffee","RENT",50004
1069158,"1 year","Quality Software Service Inc","RENT",65000
1201927,"10+ years","gwinnett board commissioners","RENT",35000
1200318,"6 years","Lansdafe Title","RENT",38400
554927,"1 year","Materials Technologies Corporation","RENT",63000
582110,"10+ years","Montgomery County Government","RENT",79500
1043894,"10+ years","Corning Inc","RENT",62000
673056,"10+ years","Allina Hospitals & Clinics","RENT",52809
651154,"10+ years","State of Delaware","RENT",46000
988990,"2 years","San Antonio Spurs, LLC","RENT",31500
797543,"2 years","Cintas Corp","RENT",39996
869431,"2 years","Eugene Burger Management Corporation","RENT",29700
612187,"2 years","Timothy Gallagher","RENT",42288
990905,"2 years","SLSS","RENT",35000
1085549,"2 years","Aetna","RENT",40000
1257989,"4 years","Manatee memorial hospital","RENT",52000
665303,"4 years","DriveCam","RENT",60000
938635,"4 years","GG Group","RENT",50000
1228161,"5 years","Tetra Tech","RENT",58000
1134928,"5 years","ihop","RENT",30000
1072046,"6 years","Green Apple Books","RENT",45000
1068909,"7 years","Axway Inc","RENT",95000
870293,"7 years","Laclede Industries","RENT",30000
606746,"8 years","Barrington Kennels","RENT",34000
600148,"< 1 year","Evo2 Verizon Wireless","RENT",24000
629227,"< 1 year","Oregon Department of Transportation","RENT",47184
432176,"< 1 year","M and T Bank","RENT",45000
869313,"< 1 year","HBO","RENT",110000
920138,"< 1 year","Northrop Grumman","RENT",42000
698893,"< 1 year","SuperMedia","RENT",46800
954280,"1 year","E-Technologies Group","RENT",83500
492444,"2 years","U.S. Bancorp","RENT",82000
797906,"6 years","NYPD","RENT",85000
699557,"< 1 year","Mount Sinai Hospital","RENT",61150
1089295,"1 year","Great Golf Resorts","RENT",40000
1279098,"1 year","Publican Restaurant","RENT",36000
1054294,"10+ years","Moorpark College","RENT",67000
663085,"2 years","Morrell  and  Company","RENT",36000
554312,"3 years","Cal Poly, San Luis Obispo","RENT",47000
1015784,"3 years","Microsoft","RENT",84000
307499,"3 years","MAC Cosmetics","RENT",61000
577824,"4 years","ice cold air","RENT",48000
617229,"4 years","E2 Inc.","RENT",62500
600196,"4 years","Norwich Aero-Esterline","RENT",63500
1007770,"5 years","Roger Williams Park Zoo","RENT",70000
331426,"7 years","Jabil Circuit","RENT",87000
1015402,"9 years","L.A. County Parks and Recreation","RENT",55000
